2024-12-16 13:23:22,455 - Kiwoom - ERROR    - list assignment index out of range
2024-12-16 13:23:23,457 - Kiwoom - DEBUG    - ['201', '-329.14', '-1.35', '-0.41', '74794', '4150964', '7', '+332.92', '+333.59', '-328.90', '132327', '5', '-40909']
2024-12-16 13:23:24,448 - Kiwoom - DEBUG    - ['201', '-328.98', '-1.51', '-0.46', '74795', '4151094', '1', '+332.92', '+333.59', '-328.90', '132328', '5', '-40908']
2024-12-16 13:23:25,449 - Kiwoom - DEBUG    - ['201', '-329.14', '-1.35', '-0.41', '74796', '4151157', '1', '+332.92', '+333.59', '-328.90', '132329', '5', '-40907']
2024-12-16 13:23:26,451 - Kiwoom - DEBUG    - ['001', '-2484.12', '-10.34', '-0.41', '412527', '5930572', '114', '+2511.08', '+2515.62', '-2483.63', '132330', '5', '-165210']
2024-12-16 13:23:26,452 - Kiwoom - DEBUG    - ['001', '-2484.12', '-10.34', '-0.41', '412527', '5930572', '132330', '5', '3', '489', '45', '0', '405', '939', '97.81']
2024-12-16 13:23:26,452 - Kiwoom - DEBUG    - ['101', '+697.02', '+3.29', '+0.47', '763939', '5180739', '132330', '2', '6', '1081', '98', '0', '516', '1695', '95.22']
2024-12-16 13:23:26,453 - Kiwoom - DEBUG    - ['201', '-329.14', '-1.35', '-0.41', '74796', '4151157', '132330', '5', '0', '78', '12', '0', '109', '199', '99.50']
2024-12-16 13:23:26,453 - Kiwoom - DEBUG    - ['201', '-328.99', '-1.50', '-0.45', '74800', '4151307', '4', '+332.92', '+333.59', '-328.90', '132330', '5', '-40903']
2024-12-16 13:23:26,553 - Kiwoom - DEBUG    - ['101', '+697.06', '+3.33', '+0.48', '764266', '5182805', '327', '+699.81', '+701.67', '+696.37', '132330', '2', '-137680']
2024-12-16 13:23:27,455 - Kiwoom - DEBUG    - ['201', '-329.03', '-1.46', '-0.44', '74803', '4151466', '3', '+332.92', '+333.59', '-328.90', '132331', '5', '-40900']
2024-12-16 13:23:28,456 - Kiwoom - DEBUG    - ['201', '-329.11', '-1.38', '-0.42', '74804', '4151559', '1', '+332.92', '+333.59', '-328.90', '132332', '5', '-40899']
2024-12-16 13:23:29,447 - Kiwoom - DEBUG    - ['201', '-329.11', '-1.38', '-0.42', '74805', '4151631', '1', '+332.92', '+333.59', '-328.90', '132333', '5', '-40898']
2024-12-16 13:23:30,449 - Kiwoom - DEBUG    - ['201', '-329.02', '-1.47', '-0.44', '74806', '4151713', '1', '+332.92', '+333.59', '-328.90', '132334', '5', '-40897']
2024-12-16 13:23:31,450 - Kiwoom - DEBUG    - ['201', '-329.00', '-1.49', '-0.45', '74807', '4151773', '1', '+332.92', '+333.59', '-328.90', '132335', '5', '-40896']
2024-12-16 13:23:32,451 - Kiwoom - DEBUG    - ['201', '-329.00', '-1.49', '-0.45', '74809', '4151904', '2', '+332.92', '+333.59', '-328.90', '132336', '5', '-40894']
2024-12-16 13:23:33,453 - Kiwoom - DEBUG    - ['201', '-329.02', '-1.47', '-0.44', '74811', '4152059', '2', '+332.92', '+333.59', '-328.90', '132337', '5', '-40892']
2024-12-16 13:23:34,454 - Kiwoom - DEBUG    - ['201', '-329.12', '-1.37', '-0.41', '74814', '4152267', '3', '+332.92', '+333.59', '-328.90', '132338', '5', '-40889']
2024-12-16 13:23:35,455 - Kiwoom - DEBUG    - ['201', '-329.12', '-1.37', '-0.41', '74816', '4152364', '2', '+332.92', '+333.59', '-328.90', '132339', '5', '-40887']
2024-12-16 13:23:36,457 - Kiwoom - DEBUG    - ['001', '-2484.81', '-9.65', '-0.39', '412604', '5932161', '77', '+2511.08', '+2515.62', '-2483.63', '132340', '5', '-165133']
2024-12-16 13:23:36,458 - Kiwoom - DEBUG    - ['001', '-2484.81', '-9.65', '-0.39', '412604', '5932161', '132340', '5', '3', '489', '41', '0', '409', '939', '97.81']
2024-12-16 13:23:36,458 - Kiwoom - DEBUG    - ['101', '+697.06', '+3.33', '+0.48', '764266', '5182805', '132340', '2', '6', '1084', '94', '0', '517', '1695', '95.22']
2024-12-16 13:23:36,459 - Kiwoom - DEBUG    - ['201', '-329.12', '-1.37', '-0.41', '74816', '4152364', '132340', '5', '0', '78', '12', '0', '109', '199', '99.50']
2024-12-16 13:23:36,459 - Kiwoom - DEBUG    - ['201', '-329.12', '-1.37', '-0.41', '74822', '4152560', '6', '+332.92', '+333.59', '-328.90', '132340', '5', '-40881']
2024-12-16 13:23:36,460 - Kiwoom - DEBUG    - ['101', '+697.09', '+3.36', '+0.48', '764611', '5184505', '345', '+699.81', '+701.67', '+696.37', '132340', '2', '-137335']
2024-12-16 13:23:37,451 - Kiwoom - DEBUG    - ['201', '-329.15', '-1.34', '-0.41', '74823', '4152607', '1', '+332.92', '+333.59', '-328.90', '132341', '5', '-40880']
2024-12-16 13:23:38,452 - Kiwoom - DEBUG    - ['201', '-329.02', '-1.47', '-0.44', '74825', '4152660', '2', '+332.92', '+333.59', '-328.90', '132342', '5', '-40878']
2024-12-16 13:23:39,454 - Kiwoom - DEBUG    - ['201', '-329.08', '-1.41', '-0.43', '74827', '4152758', '2', '+332.92', '+333.59', '-328.90', '132343', '5', '-40876']
2024-12-16 13:23:40,455 - Kiwoom - DEBUG    - ['201', '-329.09', '-1.40', '-0.42', '74828', '4152849', '1', '+332.92', '+333.59', '-328.90', '132344', '5', '-40875']
